epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-24 19:43:55,0,0,0,0,101.00,56,0
0,2023-02-24 19:52:02,4.842342,0.0105,nan,0.0115,117.68,60,15
1,2023-02-24 19:59:48,4.860373,0.009667,nan,0.011,116.48,59,5
2,2023-02-24 20:07:32,4.88133,0.0115,nan,0.009,120.59,61,15
3,2023-02-24 20:15:14,4.8783,0.008667,nan,0.0085,118.00,61,14
4,2023-02-24 20:22:57,4.868706,0.011333,nan,0.009,115.56,59,5
5,2023-02-24 20:30:38,4.873155,0.009333,nan,0.01,115.88,59,14
6,2023-02-24 20:38:22,4.882916,0.01,nan,0.0085,119.06,62,12
7,2023-02-24 20:46:04,4.856671,0.009333,nan,0.0075,116.42,58,5
8,2023-02-24 20:53:47,4.879405,0.010333,nan,0.0085,121.57,64,10
9,2023-02-24 21:01:30,4.876458,0.007833,nan,0.0095,117.19,58,11
10,2023-02-24 21:09:12,4.860887,0.011,nan,0.01,118.60,60,12
11,2023-02-24 21:16:53,4.879444,0.0085,nan,0.01,117.85,59,10
12,2023-02-24 21:24:34,4.875196,0.010167,nan,0.0095,118.91,61,12
13,2023-02-24 21:32:16,4.881557,0.009167,nan,0.011,119.92,61,14
14,2023-02-24 21:39:58,4.877752,0.013667,nan,0.0075,120.50,63,4
15,2023-02-24 21:47:40,4.865834,0.010333,nan,0.009,119.27,62,4
16,2023-02-24 21:55:23,4.867689,0.01,nan,0.01,117.90,59,6
17,2023-02-24 22:03:06,4.874021,0.007333,nan,0.009,115.76,58,15
18,2023-02-24 22:10:49,4.870459,0.008,nan,0.0095,119.47,61,15
19,2023-02-24 22:18:31,4.868876,0.009333,nan,0.007,118.65,60,8
20,2023-02-24 22:26:15,4.871943,0.011667,nan,0.0135,119.00,61,15
21,2023-02-24 22:34:00,4.866829,0.011667,nan,0.01,120.29,62,15
22,2023-02-24 22:41:45,4.874364,0.009833,nan,0.0105,118.20,60,6
23,2023-02-24 22:49:31,4.868164,0.009,nan,0.009,117.56,61,4
24,2023-02-24 22:57:15,4.863645,0.011333,nan,0.012,119.23,61,14
25,2023-02-24 23:05:00,4.8753,0.011333,nan,0.009,116.43,59,5
26,2023-02-24 23:12:47,4.881367,0.010833,nan,0.01,119.94,62,11
27,2023-02-24 23:20:31,4.882223,0.008333,nan,0.0065,117.56,59,16
28,2023-02-24 23:28:16,4.865247,0.012,nan,0.011,119.45,60,5
29,2023-02-24 23:36:02,4.87006,0.011333,nan,0.0105,116.22,57,13
30,2023-02-24 23:43:44,4.864469,0.011333,nan,0.009,118.96,61,15
31,2023-02-24 23:51:29,4.887412,0.010667,nan,0.0085,119.97,62,8
32,2023-02-24 23:59:12,4.860095,0.008833,nan,0.0095,117.43,59,8
33,2023-02-25 00:06:55,4.878063,0.009833,nan,0.0085,120.75,63,15
34,2023-02-25 00:14:39,4.871899,0.009333,nan,0.01,119.07,60,7
35,2023-02-25 00:22:23,4.876103,0.008333,nan,0.0085,119.41,62,8
36,2023-02-25 00:30:07,4.866483,0.01,nan,0.008,118.16,61,3
37,2023-02-25 00:37:52,4.876186,0.007667,nan,0.0095,119.91,62,15
38,2023-02-25 00:45:33,4.888974,0.010167,nan,0.0105,117.94,59,14
39,2023-02-25 00:53:13,4.869153,0.012167,nan,0.013,121.12,63,16
40,2023-02-25 01:00:55,4.878839,0.0095,nan,0.01,119.53,62,12
41,2023-02-25 01:08:38,4.863122,0.010667,nan,0.011,118.14,60,16
